Common name,Latin Name,Origin,Planted Adapt Class,Natural Adapt Class1,Projected change: Tree Atlas,Heat/ Hardiness zone effect,Overall vulnerability,Confidence,
Triumph elm,Ulmus 'Morton Triumph',cultivar,high,n/a,not modeled,negative,low,low,
Turkish hazelnut,Corylus colurna,nonnative,high,n/a,not modeled,no effect,moderate,low,
Washington hawthorn,Crataegus phaenopyrum,native,medium,n/a,not modeled,no effect,moderate,low,
Weeping willow,Salix babylonica,nonnative,medium,medium,increase,not evaluated,moderate,low,
White ash,Fraxinus americana,native,low,n/a,not modeled,negative,moderate-high,low-medium,
White fir,Abies concolor,native,medium,n/a,not modeled,no effect,moderate-high,low,
White fringetree,Chionanthus virginicus,nonnative,high,high,not modeled,no effect,low,low,
White mulberry,Morus alba,invasive,medium,high,decrease,not evaluated,low-moderate,low,
White oak,Quercus alba,native,medium,medium,decrease,not evaluated,moderate-high,low-medium,
White poplar,Populus alba,nonnative,medium,n/a,not modeled,no effect,moderate,low,
White spruce,Picea glauca,native,medium,n/a,decrease,not evaluated,high,high,
Willow oak,Quercus phellos,native,high,n/a,not modeled,positive,low,low,
Winged burningbush,Euonymus alatus,invasive,high,high,not modeled,no effect,low,low,
Winter King green hawthorn,Crataegus viridis Winter King,cultivar,high,n/a,not modeled,negative,moderate,low,
Yellow buckeye,Aesculus octandra,native,medium,n/a,not modeled,no effect,moderate,low,
Yellow-poplar (tuliptree),Liriodendron tulipifera,native,low,high,increase,not evaluated,moderate,low-medium,
Yellowwood,Cladrastis lutea,native,high,n/a,not modeled,no effect,low,low,
